joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,joint6output_to_joint6,joint2_to_joint1_vel,joint3_to_joint2_vel,joint4_to_joint3_vel,joint5_to_joint4_vel,joint6_to_joint5_vel,joint6output_to_joint6_vel
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,-0.0004613180000001549,0.0,0.0,0.0,0.0,0.0,0.0
0.020350644570458168,-0.07477569575551496,0.053242694948468505,0.02900014003293325,-0.00044974278914046857,-0.000460294004896266,0.09150078427526129,-0.32672669982645897,0.23611224971588318,0.1295287028688298,5.089096562744274e-05,4.502043225508324e-06
0.04116260714091649,-0.14909007351102976,0.10694670789693717,0.058461598065866656,-0.00043816757828078225,-0.00045927000979237705,0.14828326831685967,-0.5294829249867709,0.38263602170001954,0.2099101068298317,8.247228448159271e-05,7.295868432929179e-06
0.06197456971137482,-0.22340445126654457,0.16065072084540585,0.08792305609880008,-0.0004265923674210959,-0.00045824601468848815,0.18203171564556586,-0.6499902944843289,0.4697218525627086,0.25768447992344257,0.00010124251783629306,8.956367519041208e-06
0.08278653228183314,-0.2977188290220594,0.21435473379387449,0.11738451413173347,-0.00041501715656140956,-0.00045722201958459926,0.2084526079904018,-0.7443327750507199,0.537899370170358,0.29508595075421074,0.0001159373069008598,1.0256334512057558e-05
0.10359849485229146,-0.3720332067775741,0.26805874674234315,0.14684597216466688,-0.00040344194570172325,-0.00045619802448071037,0.23089185990909294,-0.8244578011260504,0.5958025050388542,0.32685100301465125,0.00012841758460716116,1.1360395891270847e-05
0.1244104574227498,-0.446347584533089,0.32176275969081186,0.1763074301976003,-0.00039186673484203693,-0.0004551740293768214,0.25252302676527555,-0.9016973550412929,0.6516204251894446,0.35747212835923564,0.00014044842103855005,1.242469767814682e-05
0.14522241999320812,-0.5206619622886037,0.3754667726392805,0.20576888823053371,-0.0003802915239823506,-0.00045415003427293254,0.2719377727901926,-0.9710226176271033,0.7017190051952231,0.38495568370855493,0.00015124652709245368,1.3379946603155685e-05
